Name,ISIN,FTSE100,FTSE250,post_date,pre_twenty_pd,pre_five_pd,pre_three_pd,pre_one_pd,post_three_pd,post_five_pd,post_ten_pd,post_twenty_pd,diff_twenty_three,diff_twenty_five,diff_twenty_ten,diff_twenty_twenty,diff_five_three,diff_five_five,diff_five_ten,diff_five_twenty,diff_three_three,diff_three_five,diff_three_ten,diff_three_twenty,diff_one_three,diff_one_five,diff_one_ten,diff_one_twenty
Marks & Spencer Group,GB0031274896,1.0,-1.0,2023-09-18,2.21,2.2049999,2.2110004,2.1969996,2.3610001,2.356,2.3330002,2.2740001000000003,0.15100010000000008,0.1459999999999999,0.12300019999999989,0.06400010000000034,0.15600020000000026,0.15100010000000008,0.12800030000000007,0.06900020000000051,0.14999969999999996,0.14499959999999978,0.12199979999999977,0.06299970000000021,0.16400050000000022,0.15900040000000004,0.13600060000000003,0.07700050000000047
Molten Ventures,GB00BY7QYJ50,,-1.0,2023-09-18,2.2740001000000003,2.4759998,2.4700002,2.5759985999999997,2.3000002,2.2399997,2.1920003,1.6610003,0.026000099999999637,-0.034000400000000486,-0.08199980000000018,-0.6129998000000003,-0.17599959999999992,-0.23600010000000005,-0.28399949999999974,-0.8149994999999999,-0.16999999999999993,-0.23000050000000005,-0.27799989999999974,-0.8089998999999999,-0.27599839999999976,-0.3359988999999999,-0.38399829999999957,-0.9149982999999997
Moonpig Group,GB00BMT9K014,,1.0,2023-09-18,1.6610003,1.6540002999999999,1.6709995,1.6999997,1.6730004,1.6490001,1.6540002999999999,10.22,0.012000100000000069,-0.012000199999999905,-0.007000000000000117,8.558999700000001,0.019000100000000186,-0.005000199999999788,0.0,8.5659997,0.002000900000000083,-0.02199939999999989,-0.016999200000000103,8.5490005,-0.02699929999999995,-0.05099959999999992,-0.045999400000000135,8.520000300000001
Persimmon,GB0006825383,-1.0,1.0,2023-09-18,10.22,10.369998,10.64,10.789998,10.92,11.1,10.369998,0.69349991,0.6999999999999993,0.879999999999999,0.14999800000000008,-9.52650009,0.5500019999999992,0.7300019999999989,0.0,-9.67649809,0.27999999999999936,0.4599999999999991,-0.27000199999999985,-9.94650009,0.13000199999999928,0.310001999999999,-0.41999999999999993,-10.09649809
Synthomer,GB00BNTVWJ75,,-1.0,2023-09-18,0.69349991,0.47919999,0.46099991,0.47779999,0.41,0.40299988,2.3299999,1.0880002,-0.28349991,-0.29050003,1.63649999,0.39450029,-0.06919999000000004,-0.07620011000000004,1.8507999099999997,0.60880021,-0.05099991000000004,-0.058000030000000036,1.8689999899999998,0.62700029,-0.06779999000000003,-0.07480011000000003,1.8521999099999997,0.6102002099999999
Vanquis Banking Group,GB00B1Z4ST84,,-1.0,2023-09-18,1.0880002,1.1999997,1.1719999,1.2279996,1.224,1.2399997,1.2279996,0.805,0.1359998,0.15199950000000007,0.1399994,-0.2830001999999999,0.024000299999999974,0.040000000000000036,0.027999899999999966,-0.39499969999999995,0.05200009999999988,0.06799979999999994,0.055999699999999875,-0.36699990000000005,-0.003999599999999992,0.012000100000000069,0.0,-0.4229995999999999
Warehouse REIT,GB00BD2NCM38,,-1.0,2023-09-18,0.805,0.81099991,0.8139999400000001,0.8269999699999999,0.83799988,0.8309999100000001,0.80599991,4.4609986,0.03299987999999998,0.025999910000000015,0.0009999099999999927,3.6559985999999998,0.026999969999999984,0.020000000000000018,-0.0050000000000000044,3.64999869,0.023999939999999942,0.016999969999999975,-0.008000030000000047,3.64699866,0.010999910000000113,0.003999940000000146,-0.021000059999999876,3.63399863
ASOS,GB0030927254,,-1.0,2023-06-19,4.4609986,3.2929980999999997,3.2799975999999997,3.7039991,4.0869995999999995,3.9279981,3.7589990999999996,3.5189991,-0.3739990000000004,-0.5330005,-0.7019995000000003,-0.9419995000000001,0.7940014999999998,0.6350000000000002,0.4660009999999999,0.22600100000000012,0.8070019999999998,0.6480005000000002,0.47900149999999986,0.2390015000000001,0.38300049999999963,0.22399900000000006,0.054999999999999716,-0.18500000000000005
British Land Co,GB0001367019,-1.0,1.0,2023-06-19,3.5619995999999996,3.4389990999999998,3.3469995999999997,3.43,3.0839990999999998,2.975,3.1329981,3.1889990999999998,-0.47800049999999983,-0.5869995999999995,-0.4290014999999996,-0.37300049999999985,-0.355,-0.46399909999999966,-0.30600099999999975,-0.25,-0.26300049999999997,-0.37199959999999965,-0.21400149999999973,-0.1580005,-0.3460009000000004,-0.45500000000000007,-0.29700190000000015,-0.2410009000000004
Capita,GB00B23K0M20,,1.0,2023-06-19,0.3209999100000001,0.32959992,0.32439988,0.31999985,0.29199997,0.27919999,0.27499985,0.27819993,-0.028999940000000113,-0.0417999200000001,-0.04600006000000012,-0.042799980000000126,-0.03759994999999999,-0.05039992999999998,-0.05460007,-0.051399990000000007,-0.032399909999999976,-0.045199889999999965,-0.049400029999999984,-0.04619994999999999,-0.027999879999999977,-0.040799859999999966,-0.044999999999999984,-0.04179991999999999
Empiric Student Property,GB00BLWDVR75,,1.0,2023-06-19,0.91599991,0.88399994,0.86899994,0.9189999400000001,0.86,0.85,0.83999985,0.875,-0.05599991000000004,-0.06599991000000005,-0.07600006000000004,-0.04099991000000003,-0.023999940000000053,-0.03399994000000006,-0.04400009000000005,-0.00899994000000004,-0.00899994000000004,-0.01899994000000005,-0.029000090000000034,0.006000059999999974,-0.058999940000000084,-0.06899994000000009,-0.07900009000000008,-0.04399994000000007
Hunting,GB0004478896,,-1.0,2023-06-19,2.0249995999999997,2.125,2.1099996,2.0249995999999997,2.005,1.9899996999999998,2.0249995999999997,2.585,-0.019999599999999784,-0.03499989999999986,0.0,0.5600004000000003,-0.1200000000000001,-0.13500030000000018,-0.10000040000000032,0.45999999999999996,-0.10499960000000019,-0.11999990000000027,-0.08500000000000041,0.4750003999999999,-0.019999599999999784,-0.03499989999999986,0.0,0.5600004000000003
IMI,GB00BGLP8L22,1.0,-1.0,2023-06-19,16.630005,16.210005000000002,16.800003,16.5,16.229996,15.899998,16.289993,15.88,-0.4000090000000007,-0.7300070000000005,-0.34001200000000154,-0.7500049999999998,0.019990999999997427,-0.31000700000000236,0.07998799999999662,-0.33000500000000166,-0.5700070000000004,-0.9000050000000002,-0.5100100000000012,-0.9200029999999995,-0.27000400000000013,-0.6000019999999999,-0.21000700000000094,-0.6199999999999992
Me Group International,GB0008481250,,1.0,2023-06-19,1.3380002,1.63,1.67,1.71,1.6619997,1.6400004000000001,1.7019997,1.632,0.3239995,0.30200020000000016,0.36399950000000003,0.2939997999999999,0.031999700000000075,0.010000400000000242,0.07199970000000011,0.0020000000000000018,-0.00800029999999996,-0.029999599999999793,0.031999700000000075,-0.038000000000000034,-0.048000299999999996,-0.06999959999999983,-0.00800029999999996,-0.07800000000000007
North Atlantic SmallerCos Inv Tst,GB0006439003,,1.0,2023-06-19,36.0,38.699996,38.5,39.100005,35.600005,35.0,35.5,35.0,-0.399994999999997,-1.0,-0.5,-1.0,-3.0999909999999957,-3.6999959999999987,-3.1999959999999987,-3.6999959999999987,-2.899994999999997,-3.5,-3.0,-3.5,-3.5,-4.100005000000003,-3.600005000000003,-4.100005000000003
Tullow Oil,GB0001500809,,-1.0,2023-06-19,0.24799988,0.2501999,0.2514,0.25399994,0.28259995,0.28039994,0.29,0.33759995,0.03460006999999998,0.03240006000000001,0.042000119999999974,0.08960006999999998,0.032400050000000014,0.03020004000000004,0.039800100000000005,0.08740005,0.031199949999999976,0.028999940000000002,0.03859999999999997,0.08619994999999997,0.02860001000000001,0.026400000000000035,0.03600006,0.08360001
Tyman,GB00B29H4253,,1.0,2023-06-19,2.6549975999999997,2.8,2.8299976,2.755,2.5500002,2.5100002,2.5200005,2.6549975999999997,-0.1049973999999998,-0.14499739999999983,-0.13499709999999965,0.0,-0.24999979999999988,-0.2899997999999999,-0.27999949999999973,-0.1450024000000001,-0.27999740000000006,-0.3199974000000001,-0.3099970999999999,-0.17500000000000027,-0.20499979999999995,-0.2449998,-0.2349994999999998,-0.10000240000000016
Videndum,GB0009296665,,-1.0,2023-06-19,7.1999976000000006,6.399997600000001,6.26,6.71,7.2899976,6.68,6.96,6.0,0.08999999999999986,-0.5199976000000008,-0.2399976000000006,-1.1999976000000006,0.8899999999999997,0.280002399999999,0.5600023999999992,-0.39999760000000073,1.0299976000000006,0.41999999999999993,0.7000000000000002,-0.2599999999999998,0.5799976000000004,-0.03000000000000025,0.25,-0.71
888 Holdings,GI000A0F6407,,-1.0,2023-03-20,0.72,0.66,0.62349991,0.58849991,0.59049988,0.545,0.52899994,0.7714999400000001,-0.12950012,-0.17499999999999993,-0.19100006000000003,0.05149994000000013,-0.06950012000000005,-0.11499999999999999,-0.13100006000000008,0.11149994000000008,-0.03300003000000007,-0.07849991,-0.0944999700000001,0.14800003000000006,0.001999969999999962,-0.043499909999999975,-0.05949997000000007,0.1830000300000001
Ithaca Energy,GB00BPJHV584,,1.0,2023-03-20,1.8660001,1.71,1.6499996,1.5249996,1.5319996,1.4770002,1.5699996999999999,1.5919999999999999,-0.3340004999999999,-0.38899989999999995,-0.29600040000000005,-0.2740001000000001,-0.17800039999999995,-0.23299979999999998,-0.14000030000000008,-0.1180000000000001,-0.11799999999999988,-0.17299939999999991,-0.07999990000000001,-0.05799960000000004,0.007000000000000117,-0.047999399999999914,0.04500009999999999,0.06700039999999996
Moonpig Group,GB00BMT9K014,,-1.0,2023-03-20,1.1420002,1.2430001,1.1890001,1.0810003000000001,1.0649996,1.0869999,1.1639995,1.2829999,-0.07700060000000009,-0.05500030000000011,0.021999300000000055,0.14099970000000006,-0.1780005,-0.15600020000000003,-0.07900059999999987,0.03999980000000014,-0.12400049999999996,-0.10200019999999999,-0.025000599999999817,0.09399980000000019,-0.0160007000000002,0.005999599999999772,0.08299919999999994,0.20199959999999995
Provident Financial,GB00B1Z4ST84,,1.0,2023-03-20,2.2200002,2.2840004,2.2819996000000002,2.2379999,2.2539997,2.2539997,2.2799997,2.3999995999999997,0.03399950000000018,0.03399950000000018,0.05999949999999998,0.1799993999999998,-0.03000069999999999,-0.03000069999999999,-0.00400070000000019,0.11599919999999964,-0.02799990000000019,-0.02799990000000019,-0.0019999000000003875,0.11799999999999944,0.015999799999999897,0.015999799999999897,0.0419997999999997,0.16199969999999952
Abrdn,GB00BF8Q6K64,1.0,-1.0,2022-12-19,2.0170002,1.8739994999999998,1.8985004,1.8509997999999999,1.8594999,1.8754998,1.9040002999999999,2.0100002,-0.15750029999999993,-0.14150039999999997,-0.11299990000000015,-0.007000000000000117,-0.014499599999999724,0.001500300000000232,0.03000080000000005,0.13600070000000009,-0.039000499999999994,-0.023000600000000038,0.00549989999999978,0.11149979999999982,0.008500100000000232,0.02450000000000019,0.053000500000000006,0.15900040000000004
Beazley,GB00BYQ0JC66,1.0,-1.0,2022-12-19,6.435,6.425,6.39,6.35,6.77,6.779997600000001,6.875,6.46,0.33499999999999996,0.344997600000001,0.4400000000000004,0.025000000000000355,0.34499999999999975,0.3549976000000008,0.4500000000000002,0.03500000000000014,0.3799999999999999,0.38999760000000094,0.4850000000000003,0.07000000000000028,0.41999999999999993,0.429997600000001,0.5250000000000004,0.11000000000000032
Dechra Pharmaceuticals,GB0009633180,-1.0,1.0,2022-12-19,27.5,27.58,28.199996000000002,27.320007999999998,26.5,26.600005,25.679993,27.899993,-1.0,-0.8999950000000005,-1.8200070000000004,0.3999929999999985,-1.0799999999999983,-0.9799949999999988,-1.9000069999999987,0.3199930000000002,-1.6999960000000023,-1.5999910000000028,-2.5200030000000027,-0.3000030000000038,-0.8200079999999978,-0.7200029999999984,-1.6400149999999982,0.5799850000000006
Digital 9 Infrastructure,JE00BMDKH437,,1.0,2022-12-19,1.0080004,0.83499985,0.87,0.87,0.86699997,0.87,0.87199997,0.94599991,-0.14100043000000007,-0.13800040000000002,-0.13600043000000006,-0.062000489999999964,0.032000119999999965,0.03500015000000001,0.03700011999999997,0.11100006000000007,-0.0030000300000000424,0.0,0.001999969999999962,0.07599991000000006,-0.0030000300000000424,0.0,0.001999969999999962,0.07599991000000006
European Small Companies Trust,GB00BMCF8689,,1.0,2022-12-19,1.4949999,1.5399999,1.5600004,1.4499997,1.4449996999999999,1.4750004,1.4949999,1.5649996,-0.05000020000000016,-0.019999499999999948,0.0,0.06999969999999989,-0.09500020000000009,-0.06499949999999988,-0.04499999999999993,0.024999699999999958,-0.11500070000000018,-0.08499999999999996,-0.06500050000000002,0.00499919999999987,-0.0050000000000001155,0.025000700000000098,0.045000200000000046,0.11499989999999993
Harbour Energy,GB00BMBVGQ36,-1.0,1.0,2022-12-19,2.9949975999999996,3.0639990999999998,3.1369995999999998,3.0609985999999996,3.1069996,3.1,2.9389990999999998,3.1259986,0.11200200000000038,0.1050024000000005,-0.05599849999999984,0.13100100000000037,0.04300050000000022,0.036000900000000335,-0.125,0.06199950000000021,-0.029999999999999805,-0.03699959999999969,-0.19800050000000002,-0.011000999999999816,0.0460010000000004,0.03900140000000052,-0.12199949999999982,0.06500000000000039
Home REIT,GB00BJP5HK17,,-1.0,2022-12-19,0.76699997,0.38399994,0.37899994,0.35899994,0.37599991,0.37799988,12.305,12.314998000000001,-0.39100006,-0.38900008999999997,11.53800003,11.54799803,-0.008000029999999991,-0.006000059999999974,11.921000059999999,11.93099806,-0.003000029999999987,-0.0010000599999999693,11.92600006,11.935998060000001,0.016999969999999975,0.018999939999999993,11.94600006,11.95599806
Intermediate Capital Group,GB00BYT1DJ19,-1.0,1.0,2022-12-19,11.729998,11.689998000000001,12.255,11.435,11.35,11.425,11.954998,12.524998,-0.3799980000000005,-0.30499799999999944,0.22499999999999964,0.7949999999999999,-0.33999800000000135,-0.2649980000000003,0.2649999999999988,0.8349999999999991,-0.9050000000000011,-0.8300000000000001,-0.300002000000001,0.2699979999999993,-0.08500000000000085,-0.009999999999999787,0.5199979999999993,1.0899979999999996
Petrofac,GB00B0H2K534,,-1.0,2022-12-19,1.1870003,0.80199997,0.7864999400000001,0.73449997,0.72949997,0.71499985,0.7319999699999999,0.795,-0.45750033,-0.47200045,-0.45500033000000006,-0.39200029999999997,-0.07250000000000001,-0.08700012000000001,-0.07000000000000006,-0.0069999699999999665,-0.05699997000000012,-0.07150009000000013,-0.054499970000000175,0.00850005999999992,-0.0050000000000000044,-0.01950012000000001,-0.0025000000000000577,0.06050003000000004
Weir Group,GB0009465807,1.0,-1.0,2022-12-19,17.684998,16.589996,16.919998,16.445008,16.684998,16.815003,16.61,17.914993,-1.0,-0.8699949999999994,-1.0749980000000008,0.22999499999999884,0.09500200000000092,0.2250070000000015,0.020004000000000133,1.3249969999999998,-0.23499999999999943,-0.10499499999999884,-0.3099980000000002,0.9949949999999994,0.23998999999999882,0.3699949999999994,0.16499199999999803,1.4699849999999977
ASOS,GB0030927254,,1.0,2022-06-20,13.75,12.09,11.6,8.835,8.875,8.765,8.9099976,10.149998,-4.875,-4.984999999999999,-4.8400023999999995,-3.600002,-3.215,-3.3249999999999993,-3.1800023999999993,-1.9400019999999998,-2.7249999999999996,-2.834999999999999,-2.690002399999999,-1.4500019999999996,0.03999999999999915,-0.07000000000000028,0.07499759999999966,1.3149979999999992
Baillie Gifford US Growth Trust,GB00BDFGHW41,,-1.0,2022-06-20,1.6000004,1.5200004999999999,1.6000004,1.4860001,1.5299996999999999,1.6040001000000002,1.526,1.6260004000000001,-0.07000070000000025,0.0039997000000000504,-0.07400040000000008,0.026000000000000023,0.009999199999999986,0.08399960000000029,0.0059995000000001575,0.10599990000000026,-0.07000070000000025,0.0039997000000000504,-0.07400040000000008,0.026000000000000023,0.043999599999999806,0.1180000000000001,0.03999989999999998,0.14000030000000008
Bank of Georgia Group,GB00BF4HYT85,,1.0,2022-06-20,13.539998,15.3,15.039998,14.76,14.319998,14.52,13.5,14.119998,0.7799999999999994,0.9800019999999989,-0.039998000000000644,0.5800000000000001,-0.9800020000000007,-0.7800000000000011,-1.8000000000000007,-1.180002,-0.7200000000000006,-0.5199980000000011,-1.5399980000000006,-0.9199999999999999,-0.4400019999999998,-0.2400000000000002,-1.2599999999999998,-0.6400019999999991
Centrica,GB00B033F229,1.0,-1.0,2022-06-20,0.8664000000000001,0.77979996,0.7893998799999999,0.77439988,0.8285998600000001,0.8219999699999999,0.81839997,0.88599991,-0.03780013999999998,-0.044400030000000146,-0.04800003000000008,0.019599909999999943,0.04879990000000012,0.042200009999999955,0.03860001000000002,0.10619995000000004,0.039199980000000134,0.03260008999999997,0.029000090000000034,0.09660003000000006,0.054199980000000036,0.04760008999999987,0.044000089999999936,0.11160002999999996
ITV,GB0033986497,-1.0,1.0,2022-06-20,0.69339997,0.6737999000000001,0.7001999000000001,0.6539999400000001,0.67199997,0.6775999500000001,0.6539999400000001,0.65799988,-0.021399999999999975,-0.015800019999999915,-0.03940002999999992,-0.035400089999999995,-0.0017999300000001162,0.0038000499999999438,-0.01979996000000006,-0.015800020000000137,-0.028199930000000095,-0.022599950000000035,-0.04619996000000004,-0.042200020000000116,0.018000029999999945,0.023600010000000005,0.0,0.003999939999999924
Merchants Trust,GB0005800072,,1.0,2022-06-20,5.609997600000001,5.439997600000001,5.6,5.399997600000001,5.229997600000001,5.5,5.47,5.439997600000001,-0.3799999999999999,-0.1099976000000007,-0.13999760000000094,-0.16999999999999993,-0.20999999999999996,0.060002399999999234,0.030002399999998985,0.0,-0.37000239999999884,-0.09999999999999964,-0.1299999999999999,-0.16000239999999888,-0.16999999999999993,0.10000239999999927,0.07000239999999902,0.040000000000000036
Oxford Biomedica,GB00BDFBVT43,,-1.0,2022-06-20,5.0299976,4.51,4.395,4.1499976,4.8299976,4.76,4.5,4.5,-0.20000000000000018,-0.26999759999999995,-0.5299975999999997,-0.5299975999999997,0.31999759999999977,0.25,-0.009999999999999787,-0.009999999999999787,0.4349976,0.3650000000000002,0.10500000000000043,0.10500000000000043,0.6799999999999997,0.6100024,0.35000240000000016,0.35000240000000016
PureTech Health,GB00BY2Z0H74,,-1.0,2022-06-20,1.7880000999999999,1.6499996,1.5579996,1.4759997999999999,1.5860004,1.7060003000000001,1.7799996999999999,1.8079996,-0.20199969999999978,-0.08199979999999973,-0.008000400000000019,0.01999950000000017,-0.06399919999999981,0.056000700000000236,0.13000009999999995,0.15800000000000014,0.028000800000000048,0.1480007000000001,0.2220000999999998,0.25,0.11000060000000023,0.23000050000000027,0.3039999,0.3319998000000002
Rank Group,GB00B1L5QH97,,-1.0,2022-06-20,0.9739999400000001,0.995,1.0279999,0.99199997,0.8239999400000001,0.8459999100000001,0.85299988,0.88799988,-0.15000000000000002,-0.12800003000000004,-0.12100006000000008,-0.08600006000000016,-0.1710000599999999,-0.14900008999999992,-0.14200011999999995,-0.10700012000000003,-0.20399995999999987,-0.1819999899999999,-0.17500001999999992,-0.14000002,-0.16800002999999986,-0.14600005999999988,-0.1390000899999999,-0.10400008999999999
Royal Mail,GB00BDVZYZ77,-1.0,1.0,2022-06-20,3.0,2.7319996,2.8199975999999998,2.72,2.7859985999999997,2.8089991,2.6779981,2.7709986,-0.21400140000000034,-0.19100090000000014,-0.32200190000000006,-0.22900140000000002,0.053998999999999686,0.07699949999999989,-0.054001500000000036,0.038999000000000006,-0.03399900000000011,-0.010998499999999911,-0.14199949999999983,-0.04899899999999979,0.06599859999999946,0.08899909999999966,-0.04200190000000026,0.05099859999999978
Supermarket Income REIT,GB00BF345X11,,1.0,2022-06-20,1.2749996000000001,1.2849998999999999,1.3050004000000002,1.3000002000000002,1.2700005,1.3000002000000002,1.1800004,1.2399997,-0.004999100000000034,0.02500060000000004,-0.09499920000000017,-0.034999900000000084,-0.014999399999999774,0.0150003000000003,-0.10499949999999991,-0.045000199999999824,-0.034999900000000084,-0.00500020000000001,-0.12500000000000022,-0.06500070000000013,-0.029999700000000074,0.0,-0.11999980000000021,-0.06000050000000012
Target Healthcare REIT,GB00BJGTLF51,,1.0,2022-06-20,1.1359997,1.1260004000000001,1.1320000000000001,1.1359997,1.1040001,1.1260004000000001,1.0819997,1.1339998,-0.03199960000000002,-0.009999299999999822,-0.05400000000000005,-0.0019998999999999434,-0.022000300000000195,0.0,-0.044000700000000226,0.007999399999999879,-0.02799990000000019,-0.005999599999999994,-0.05000030000000022,0.001999799999999885,-0.03199960000000002,-0.009999299999999822,-0.05400000000000005,-0.0019998999999999434
Trustpilot Group,GB00BNK9TP58,,-1.0,2022-06-20,1.0930004,0.8125,0.86049988,0.94049988,1.0340004,1.0500002000000002,0.98899994,0.74049988,-0.05899999999999994,-0.04300019999999982,-0.10400045999999996,-0.35250052,0.22150040000000004,0.23750020000000016,0.17649994000000002,-0.07200012,0.17350052000000005,0.18950032000000017,0.12850006000000003,-0.12,0.09350052000000009,0.1095003200000002,0.04850006000000007,-0.19999999999999996
Unite Group,GB0006928617,1.0,-1.0,2022-06-20,10.399998,10.439998000000001,10.939998000000001,10.88,10.68,11.069998,10.46,11.46,0.28000199999999964,0.6699999999999999,0.06000200000000078,1.0600020000000008,0.24000199999999872,0.629999999999999,0.020001999999999853,1.0200019999999999,-0.2599980000000013,0.129999999999999,-0.47999800000000015,0.5200019999999999,-0.20000000000000107,0.18999799999999922,-0.41999999999999993,0.5800000000000001
